sale_id,customer_id,product_id,quantity,total_price,payment_method,sale_date
7579,7511,488,3,381.18,PayPal,12/10/2024
14555,7511,474,2,48.08,Virement,12/23/2023
14754,7511,196,2,162.84,Esp?es,7/18/2023
19433,7511,343,1,483.34,Esp?es,6/26/2024
8626,7512,438,3,1395.96,PayPal,2/19/2023
17569,7512,259,5,1787.1,Virement,11/28/2023
5049,7513,224,1,420.84,Esp?es,8/14/2025
13181,7514,133,2,582.88,Carte de cr?it,3/29/2023
16562,7514,55,3,1195.23,PayPal,8/20/2023
4243,7515,337,3,1328.25,PayPal,7/14/2024
3680,7516,1,4,1770.44,Carte de cr?it,4/11/2023
11346,7517,421,4,695.84,Carte de cr?it,12/9/2024
13903,7517,413,2,546.64,PayPal,11/25/2023
17159,7517,122,2,137.4,Carte de cr?it,9/15/2025
352,7518,479,1,122.37,Carte de cr?it,3/6/2025
671,7519,150,3,910.86,PayPal,8/9/2025
1460,7519,436,2,268.42,Virement,9/6/2024
5053,7519,158,3,365.76,PayPal,2/8/2025
9923,7519,363,2,261.36,Esp?es,5/14/2024
4047,7520,10,3,1036.95,Esp?es,11/14/2025
4191,7522,50,5,428.2,Esp?es,12/23/2023
19646,7522,366,5,1996.4,Carte de cr?it,10/5/2023
16227,7523,487,4,351.92,Esp?es,8/9/2024
17563,7523,400,1,101.07,Virement,10/13/2024
19079,7524,280,4,1565.64,PayPal,4/27/2025
1382,7525,17,5,1892.15,Esp?es,5/14/2025
6920,7525,146,5,551.35,PayPal,2/20/2024
18001,7525,353,3,1248.99,Carte de cr?it,3/22/2025
18640,7525,398,1,114.81,Virement,12/29/2022
805,7526,418,5,70.25,PayPal,2/11/2023
14047,7526,65,3,762.15,Carte de cr?it,12/16/2023
14659,7527,87,5,2264.05,Carte de cr?it,1/7/2025
688,7528,303,2,695.28,Carte de cr?it,8/11/2024
2665,7528,347,5,1402.65,Virement,4/4/2023
8071,7528,75,5,2300.35,PayPal,9/13/2025
1089,7529,290,1,375.26,PayPal,2/12/2024
8331,7529,275,1,265.16,Carte de cr?it,12/13/2024
3835,7530,279,4,1653.6,PayPal,10/2/2025
5856,7530,164,5,277.3,PayPal,9/27/2024
10986,7530,190,3,248.82,Esp?es,11/11/2023
19850,7530,24,3,1392.15,Virement,7/23/2024
9632,7531,350,1,390.15,PayPal,3/12/2023
14475,7531,484,5,268.4,Esp?es,9/28/2023
16972,7531,375,1,495.48,Virement,8/30/2025
18904,7531,268,5,2191.5,PayPal,1/20/2025
2313,7532,165,2,888.26,Esp?es,6/9/2024
3838,7532,112,2,433.12,PayPal,5/30/2023
10641,7532,250,1,279.98,Virement,3/29/2023
12632,7532,425,5,225.85,Virement,10/31/2024
13375,7532,438,3,1338.78,Esp?es,4/13/2025
3021,7533,96,4,1860.2,PayPal,3/16/2025
6328,7533,199,1,324.49,Carte de cr?it,2/14/2023
11099,7534,330,4,203.88,Virement,12/8/2022
12557,7534,352,2,414.44,PayPal,7/26/2025
19367,7534,203,5,1534.35,Virement,12/27/2024
9545,7536,33,4,1496.24,Virement,6/28/2025
5738,7537,323,2,757.72,Esp?es,7/14/2024
11847,7538,254,5,1083.2,Carte de cr?it,3/21/2023
2178,7539,278,3,207.69,PayPal,12/26/2024
9420,7540,33,5,2456.4,Carte de cr?it,1/22/2025
18593,7540,451,3,1448.85,Virement,1/28/2024
15276,7541,47,2,391.78,Carte de cr?it,12/12/2024
9794,7542,102,1,382.4,Carte de cr?it,2/12/2025
11953,7542,175,3,453.57,Esp?es,8/11/2025
12282,7542,227,5,1768.25,Carte de cr?it,4/19/2023
18198,7542,5,2,827.58,PayPal,4/16/2023
1514,7543,251,3,1206.99,PayPal,7/7/2024
1638,7543,160,1,61.87,Carte de cr?it,8/14/2023
861,7544,90,3,393.84,Virement,9/13/2025
12462,7544,143,1,377.34,PayPal,7/15/2024
19558,7544,4,5,875.5,PayPal,3/31/2023
19644,7544,128,3,360.87,Carte de cr?it,11/4/2025
2972,7545,417,5,1332.05,Virement,12/23/2022
9758,7545,431,1,167.23,Virement,7/12/2025
14073,7545,322,1,426.97,Virement,6/29/2024
17843,7545,381,1,468.47,Esp?es,8/28/2025
1012,7548,382,1,158.25,Esp?es,12/3/2024
14777,7548,317,3,556.83,Carte de cr?it,1/12/2025
583,7549,153,2,745.22,Virement,3/5/2023
11200,7549,413,4,1971.24,Esp?es,9/14/2023
13695,7550,27,3,1227.57,Virement,6/24/2025
8346,7551,77,4,581.48,Virement,7/9/2024
12411,7551,173,1,188.37,Esp?es,2/26/2024
12925,7551,433,2,747.3,Esp?es,7/3/2025
18716,7552,58,3,46.29,PayPal,7/6/2024
3171,7554,97,4,898.12,Virement,11/8/2023
8214,7554,345,5,2139.3,Esp?es,8/26/2023
7581,7555,22,4,768.96,Virement,11/2/2024
9649,7555,249,1,66.77,Esp?es,10/17/2025
12077,7555,91,4,1637.08,Virement,5/24/2025
18330,7555,101,2,294.52,Virement,2/6/2024
19824,7555,95,5,940.7,Carte de cr?it,2/21/2024
8655,7556,8,4,1848.36,Carte de cr?it,1/3/2024
6948,7557,242,4,455.2,Carte de cr?it,2/26/2023
11466,7557,114,5,1302.85,Esp?es,1/14/2025
4621,7558,220,1,257.39,Esp?es,7/19/2023
12604,7558,444,4,1667.68,PayPal,10/23/2024
4396,7559,63,4,1571.2,Virement,7/10/2023
7956,7559,166,4,544.24,PayPal,6/6/2025
3400,7562,403,3,366.78,PayPal,11/12/2025
14487,7562,396,3,826.68,Virement,5/7/2025
7,7563,410,4,1649.92,PayPal,4/12/2025
4822,7563,66,1,363.92,Virement,1/18/2024
5519,7564,57,5,2334.85,PayPal,3/29/2025
5265,7565,464,5,2497.3,Carte de cr?it,9/22/2025
8781,7565,259,4,1522.28,Virement,8/6/2025
