product_id,product_name,category,base_price,development_hours,version
1,SmartOps Cloud,Marketing Automation,2140.85,384,v0.9
2,PayPro Lite,Cybersecurity,3980.05,1498,v3.4
3,SecureWall Pro,Analytics,1346.68,1410,beta
4,VisionTrack Suite,Project Management,4316.53,722,v1.5
5,CloudSync Cloud,Project Management,2451.03,266,beta
6,VisionTrack Cloud,Analytics,1713.77,,
7,TradeSoft Suite,DevOps,4929.32,1933,v1.0
8,DataPilot Suite,HR Management,4598.15,961,v0.9
9,SkyMaster ,ERP,4078.45,47,v3.4
10,CodeForge Lite,Analytics,3981.12,394,
11,TradeSoft Lite,AI Tools,1913.1,1812,release
12,SecureWall ,Cloud Services,2041.32,1657,v3.4
13,PayPro Cloud,Mobile App,1030.69,186,release
14,ProManage Suite,Project Management,3766.44,393,release
15,PulseAnalytics Cloud,Cybersecurity,4808.75,20,v2.1
16,TaskSphere Pro,Accounting,3925.17,1807,v0.9
17,ProManage Pro,HR Management,3580.35,225,beta
18,TradeSoft ,Project Management,3997.74,47,release
19,InsightX Pro,CRM,4599.74,1109,v3.4
20,SellFlow ,Cybersecurity,3857.78,225,v3.4
21,SkyMaster Suite,Marketing Automation,2661.99,246,v0.9
22,SmartOps Suite,Mobile App,4074.65,741,beta
23,DataPilot Suite,Marketing Automation,3514.23,1137,v1.0
24,AutoMarket Suite,ERP,441.33,270,release
25,TaskSphere Cloud,Accounting,3703.21,1370,
26,InsightX ,DevOps,1070.93,1928,
27,DevFlow Suite,Accounting,3659.87,517,v2.1
28,CodeForge ,AI Tools,1597.75,829,v0.9
29,AutoMarket Pro,DevOps,1061.65,689,v3.4
30,AutoMarket Lite,HR Management,4564.66,559,release
31,CloudSync ,Accounting,565.59,620,v2.1
32,CodeForge Cloud,Analytics,4369.02,745,v0.9
33,ProManage Lite,Mobile App,,1599,
34,TradeSoft Cloud,Accounting,2476.71,1969,v2.1
35,PayPro ,ERP,3125.8,1776,v1.5
36,GuardNet ,E-Commerce,560.9,1422,
37,CodeForge Pro,Analytics,2068.86,1933,v1.0
38,SkyMaster Pro,Mobile App,3088.51,1983,v1.5
39,SkyMaster Suite,DevOps,3818.36,121,v1.5
40,PayPro Lite,Accounting,446.23,1046,
41,TradeSoft Lite,Accounting,246.19,277,release
42,SellFlow Pro,Marketing Automation,187.88,635,v1.0
43,SmartOps Suite,Mobile App,1854.24,1330,release
44,InsightX Lite,Mobile App,3127.19,250,v0.9
45,VisionTrack Suite,Mobile App,3206.03,1010,v3.4
46,PayPro ,Marketing Automation,2676.67,203,v3.4
47,InsightX Lite,CRM,4237.88,401,v3.4
48,CloudSync Pro,CRM,,1617,
49,SellFlow Suite,DevOps,1068.06,1628,beta
50,NovaSuite ,Project Management,4551.78,916,beta
51,PulseAnalytics Pro,AI Tools,4324.17,729,beta
52,ProManage Suite,Cybersecurity,3106.22,1609,v1.0
53,TradeSoft Cloud,Cloud Services,1741.24,364,v0.9
54,CodeForge Suite,E-Commerce,2955.88,1856,beta
55,PayPro Pro,AI Tools,3758.04,1773,release
56,GuardNet Cloud,HR Management,2838.83,1447,v2.1
57,SellFlow ,E-Commerce,1093.57,1380,v0.9
58,SellFlow Lite,Marketing Automation,3901.42,1979,v0.9
59,AutoMarket ,E-Commerce,3329.38,432,beta
60,AutoMarket ,ERP,2373.83,1268,release
61,SellFlow Suite,Analytics,4538.67,1830,v2.1
62,NovaSuite Suite,AI Tools,2513.36,419,v3.4
63,PulseAnalytics ,E-Commerce,1551.68,1639,v3.4
64,TradeSoft Lite,Analytics,1179.34,1559,v1.5
65,InsightX Pro,HR Management,4408.01,1420,release
66,LeadStream Suite,Analytics,347.1,1628,v2.1
67,SkyMaster Suite,Analytics,213.66,464,
68,ProManage Cloud,Mobile App,99.18,1136,v2.1
69,TradeSoft Suite,Cloud Services,133.22,871,release
70,CloudSync Suite,CRM,2797.13,1985,beta
71,NovaSuite Lite,HR Management,3152.46,1429,v1.5
72,NovaSuite Lite,Accounting,1745.42,1535,v2.1
73,TaskSphere Cloud,DevOps,3324.74,1333,v3.4
74,CodeForge ,AI Tools,3886.13,1022,v0.9
75,SmartOps Pro,Mobile App,4470.37,1986,v1.5
76,TradeSoft Lite,Accounting,828.42,1285,v0.9
77,PayPro Suite,ERP,931.85,1540,v1.5
78,ProManage Cloud,Cloud Services,1437.97,644,release
79,GuardNet Cloud,Cybersecurity,,1438,v2.1
80,SkyMaster Suite,Analytics,273.73,215,beta
81,DataPilot Pro,DevOps,3064.01,1281,v0.9
82,SmartOps Pro,DevOps,3188.15,1690,
83,SkyMaster Suite,Cybersecurity,4041.4,784,
84,TradeSoft Pro,Project Management,364.71,771,
85,CodeForge Pro,Marketing Automation,358.27,846,v1.5
86,InsightX ,E-Commerce,,1347,v1.0
87,HRMaster Suite,Accounting,1125.97,360,v3.4
88,NovaSuite Suite,Accounting,1786.63,66,beta
89,HRMaster Pro,DevOps,3305.89,1850,v1.0
90,TradeSoft Pro,AI Tools,2225.31,1550,release
91,CodeForge ,Cybersecurity,3220.42,393,v2.1
92,PulseAnalytics Lite,AI Tools,,421,v0.9
93,GuardNet ,AI Tools,764,61,v0.9
94,PulseAnalytics Suite,Cybersecurity,507.08,708,
95,DevFlow ,Cloud Services,538.03,773,v0.9
96,PayPro ,E-Commerce,3141.1,1656,
97,NovaSuite Cloud,Cloud Services,2306.59,2000,v1.5
98,AutoMarket Suite,Cloud Services,3174.78,1659,v2.1
99,SellFlow Pro,Marketing Automation,649.85,544,v0.9
100,TradeSoft ,AI Tools,1000.91,918,v3.4
101,GuardNet Suite,Cybersecurity,790.52,1332,v1.5
102,NovaSuite ,CRM,,1907,v0.9
103,VisionTrack Lite,Cybersecurity,4664.68,675,beta
104,CloudSync Lite,AI Tools,632.95,100,
105,SmartOps Suite,E-Commerce,2401.6,641,v1.5
106,NovaSuite ,HR Management,4585.34,66,
107,CodeForge ,Mobile App,3630.42,1859,v0.9
108,SmartOps Lite,Marketing Automation,3157.43,510,v1.5
109,DataPilot Lite,HR Management,2106.44,1429,v3.4
110,CloudSync Suite,Analytics,4807.27,1981,beta
111,PulseAnalytics Cloud,CRM,2762.88,1883,v1.5
112,GuardNet Lite,Cybersecurity,282.54,1287,v3.4
113,TradeSoft Suite,E-Commerce,3298.64,1512,v1.0
114,AutoMarket Cloud,Cloud Services,,274,v1.5
115,DevFlow Pro,Marketing Automation,1497.8,,release
116,DataPilot Suite,E-Commerce,4988.6,1818,v0.9
117,SmartOps ,Project Management,2520.38,916,v2.1
118,SkyMaster Suite,ERP,2150.18,522,release
119,GuardNet Cloud,CRM,1235.1,1221,v1.5
120,TaskSphere ,CRM,582.32,82,v0.9
121,NovaSuite Lite,Cloud Services,3420.23,1044,v3.4
122,VisionTrack Lite,Mobile App,2761.13,126,v1.0
123,ProManage Suite,HR Management,4362.4,1829,v3.4
124,PayPro Suite,CRM,375.19,715,
125,TaskSphere Cloud,CRM,4163.35,278,v0.9
126,TradeSoft Pro,Project Management,1242.21,1629,beta
127,AutoMarket Suite,Cybersecurity,4377.51,,v0.9
