sale_id,customer_id,product_id,quantity,total_price,payment_method,sale_date
13108,1,135,3,505.98,Esp?es,11/10/2023
15301,1,401,5,895.6,PayPal,2/10/2024
10016,2,332,2,279.64,Virement,7/2/2023
19386,2,423,4,1704.88,Virement,5/9/2023
175,3,291,3,717.54,Carte de cr?it,8/10/2025
746,3,72,5,257.25,Esp?es,2/16/2024
839,3,217,1,75.23,Virement,4/4/2023
13790,3,483,3,668.49,PayPal,11/28/2024
1724,4,206,5,2110.15,PayPal,12/4/2023
13429,4,376,4,486.8,PayPal,7/13/2025
4908,5,225,2,873.3,Carte de cr?it,5/14/2024
9901,5,419,1,489.03,PayPal,3/17/2024
9702,6,95,2,945.16,Virement,4/23/2025
2563,7,321,5,709.45,Carte de cr?it,3/9/2023
4630,7,305,3,87.93,Carte de cr?it,6/27/2023
5286,8,5,2,871.64,Esp?es,8/4/2023
13273,8,200,3,1481.52,Esp?es,12/24/2024
13957,8,159,2,345.5,Virement,7/25/2025
14365,8,154,1,58.67,PayPal,10/9/2025
19975,8,125,3,1278.18,Virement,12/7/2023
4882,9,338,5,599.05,PayPal,10/14/2025
14240,9,104,3,96.51,Carte de cr?it,8/3/2024
6723,10,177,5,1931.15,Virement,8/11/2025
5788,11,80,5,113.25,Virement,1/14/2024
18868,11,417,3,810,PayPal,2/5/2024
8639,12,146,5,1219.55,PayPal,7/15/2024
18674,12,366,4,987.6,PayPal,5/26/2024
18694,13,376,5,1330.4,Carte de cr?it,10/25/2025
12132,16,496,4,1286.92,Esp?es,12/4/2023
9550,17,334,2,766.02,PayPal,4/27/2025
5058,18,203,5,1767.1,Carte de cr?it,2/8/2023
17082,18,95,3,971.37,PayPal,6/13/2025
18202,18,258,3,560.13,Carte de cr?it,11/4/2024
6881,19,441,1,113.08,Esp?es,5/22/2023
9167,19,226,1,346.95,Esp?es,8/31/2025
16349,20,470,1,371.35,Esp?es,3/20/2023
11036,21,264,2,430.72,PayPal,5/5/2024
14780,21,500,3,292.62,Carte de cr?it,1/8/2023
6424,23,394,5,1311.95,Virement,5/16/2024
19385,23,355,1,51.5,Carte de cr?it,2/20/2025
19454,23,323,2,241.1,Esp?es,3/16/2023
6223,24,83,1,48.72,PayPal,9/23/2023
12309,24,151,2,442.92,Virement,5/17/2023
19495,24,74,5,513.55,PayPal,5/2/2023
227,25,125,1,461.82,Virement,5/4/2024
4716,25,166,5,2196.15,Virement,9/29/2025
14205,25,98,4,1652.28,Carte de cr?it,8/30/2025
15885,25,154,1,494.24,Virement,8/19/2024
9267,26,491,1,448.23,Esp?es,12/3/2022
9987,26,96,3,62.1,Esp?es,3/23/2023
17839,26,100,1,21.09,Virement,12/5/2022
9603,28,410,1,83.25,PayPal,1/27/2025
16347,28,1,3,1046.34,PayPal,2/18/2025
17647,28,241,1,181.28,PayPal,9/7/2023
1990,29,92,3,1422.87,Esp?es,4/20/2023
4424,29,293,2,329.98,Esp?es,6/15/2024
5312,29,226,4,1219.48,Carte de cr?it,8/5/2023
12165,29,172,4,408.76,Esp?es,3/24/2024
19855,29,195,4,1487.72,Carte de cr?it,8/22/2025
8061,30,316,4,175.32,Virement,2/7/2023
16751,33,377,2,353.28,Esp?es,10/14/2024
534,34,70,3,1275.3,Carte de cr?it,10/23/2023
17737,34,151,5,226.65,Virement,12/20/2022
9812,35,270,4,1701.4,Carte de cr?it,9/10/2025
15638,35,223,3,435.33,Carte de cr?it,4/30/2023
3001,37,358,5,1065.75,Esp?es,8/23/2023
13022,37,37,3,163.35,PayPal,9/25/2024
13689,38,58,4,1115.84,Virement,12/4/2024
16103,38,312,3,60.99,PayPal,1/18/2023
7877,39,161,4,1721.28,Carte de cr?it,4/3/2024
9206,39,158,2,192.48,Virement,8/11/2024
12596,39,341,5,1286.7,Carte de cr?it,9/25/2023
19509,39,334,2,795.96,PayPal,12/6/2022
6570,40,112,1,484.93,Carte de cr?it,4/25/2023
18077,42,192,4,1012.64,PayPal,9/18/2024
1307,43,278,1,133.19,Carte de cr?it,5/12/2023
16658,43,499,1,80.09,Carte de cr?it,3/27/2025
4168,44,5,2,318.48,PayPal,4/25/2023
13682,44,370,1,350.67,Carte de cr?it,8/20/2025
11098,45,18,4,1870.8,Esp?es,4/26/2023
18305,45,110,4,145.28,Virement,10/18/2023
12361,46,327,5,723.85,Carte de cr?it,5/19/2025
14474,47,120,2,983.56,Esp?es,5/1/2024
16093,47,109,2,783.6,Esp?es,1/29/2023
18035,47,424,4,1267.92,Esp?es,10/2/2024
4715,48,94,5,2304.9,Esp?es,8/8/2024
6147,48,357,3,336.87,PayPal,10/15/2023
12453,48,312,5,2247.35,Carte de cr?it,6/6/2024
3742,49,471,4,1280.72,Virement,10/30/2025
11077,49,346,3,1263.66,Virement,10/18/2024
16691,49,14,5,2395.5,Virement,6/18/2023
7135,50,112,5,457.25,Virement,9/15/2025
10690,50,473,5,196.55,Virement,6/1/2023
4889,51,460,1,291.54,Carte de cr?it,7/18/2024
4247,52,372,2,985.82,Virement,10/2/2025
6774,52,468,1,356.04,PayPal,6/1/2025
18,53,499,1,482.33,PayPal,9/7/2023
381,53,428,4,1024.96,Virement,11/30/2022
2405,53,341,3,1211.52,PayPal,12/25/2024
17765,53,125,5,948.75,Carte de cr?it,1/14/2024
14261,54,83,1,402.18,Esp?es,2/24/2025
18743,54,478,4,245.96,PayPal,12/4/2022
3197,55,218,3,636.15,Esp?es,11/3/2025
10495,55,462,3,176.37,Carte de cr?it,12/30/2023
1041,56,138,2,986.92,PayPal,10/4/2023
4712,56,347,1,241.22,Virement,11/7/2023
7041,56,198,3,1135.89,Esp?es,12/22/2024
18190,56,71,1,466.19,Virement,4/13/2023
14663,57,337,4,1166.68,Carte de cr?it,8/1/2024
19821,57,409,4,1318.36,Carte de cr?it,11/1/2024
1334,58,217,5,1406.45,PayPal,6/30/2025
11688,58,332,3,267.27,Carte de cr?it,7/6/2025
19206,58,463,1,366.99,Virement,9/5/2023
714,59,88,4,1743.6,PayPal,7/28/2024
2323,59,157,1,233.42,Carte de cr?it,4/28/2023
13179,60,16,2,470.28,Carte de cr?it,6/26/2025
15816,61,323,2,463.12,PayPal,5/13/2024
4479,62,241,5,615.15,Carte de cr?it,11/6/2023
18023,62,322,3,1001.19,PayPal,1/5/2024
19931,62,115,3,1427.61,PayPal,3/31/2024
2312,63,64,5,1627.45,Esp?es,6/14/2023
9900,63,200,3,81.84,Esp?es,4/26/2025
938,64,478,2,212.78,Esp?es,6/7/2024
1883,64,67,2,820.56,Carte de cr?it,7/8/2023
3600,64,493,2,743.94,PayPal,6/19/2023
3962,64,317,3,1389.9,Esp?es,5/15/2024
13168,64,5,1,322.38,Esp?es,9/6/2025
7326,65,143,3,646.41,Carte de cr?it,12/16/2024
9464,65,205,3,114.84,PayPal,2/28/2023
297,66,25,4,1079.04,Carte de cr?it,6/30/2024
3471,66,412,1,335.27,Carte de cr?it,9/14/2025
259,67,80,2,196.88,Carte de cr?it,12/21/2024
10473,67,296,2,408.1,PayPal,6/25/2023
19917,68,244,4,1040,Virement,2/12/2023
817,69,128,2,39.62,Virement,3/31/2025
14382,69,228,2,388.98,Esp?es,12/16/2024
3262,71,297,2,148.62,Esp?es,8/29/2024
4106,71,464,1,213.22,Carte de cr?it,7/22/2025
10438,71,321,3,953.46,PayPal,11/2/2024
11672,71,499,4,1497.24,PayPal,8/3/2024
15174,71,80,5,2176.5,Esp?es,6/19/2025
17419,71,157,5,1958.65,Virement,11/23/2023
18260,72,116,4,327.8,Esp?es,7/8/2024
257,73,297,5,1273.35,Carte de cr?it,7/15/2023
781,73,494,2,222.1,Carte de cr?it,2/9/2025
2974,74,451,3,1140.33,Virement,8/15/2024
3529,74,178,5,2078.8,PayPal,10/12/2025
3670,74,326,5,1198.2,PayPal,9/11/2024
5531,74,468,5,2021.55,PayPal,6/22/2023
14911,74,442,4,312.88,Virement,2/3/2023
19219,76,272,1,130.18,Esp?es,6/3/2023
19284,77,466,5,169.4,PayPal,12/4/2023
8676,78,72,5,875.5,Virement,1/2/2024
12279,79,23,2,602.36,Virement,6/20/2023
18964,79,402,5,2022.05,Virement,9/13/2025
3179,81,355,4,458.92,PayPal,7/22/2023
4109,81,33,4,883.52,Virement,4/15/2025
7535,81,214,4,880.76,Carte de cr?it,11/29/2023
8562,81,390,5,2224.7,Carte de cr?it,1/5/2024
14585,81,138,2,695.44,Esp?es,9/6/2024
18280,81,188,1,260.74,Esp?es,10/17/2025
9436,84,272,1,424.36,Esp?es,12/15/2023
9565,84,428,2,293.48,Carte de cr?it,12/3/2024
18363,84,447,4,1993.88,PayPal,7/18/2024
15594,85,49,2,61.04,Esp?es,10/23/2023
8145,86,125,1,27.19,PayPal,9/4/2024
11362,86,125,5,746.15,Carte de cr?it,9/26/2024
12063,86,96,2,353.44,Carte de cr?it,9/9/2023
18756,86,174,4,395.8,PayPal,10/13/2023
17150,88,346,4,1609.32,PayPal,4/19/2023
1581,89,35,4,1983.76,Virement,10/3/2024
2825,89,285,1,185.36,Esp?es,8/14/2023
7233,89,136,2,41.04,Esp?es,12/5/2024
12965,89,218,1,43.45,Virement,3/9/2025
14876,89,20,2,336.92,Virement,6/12/2024
18285,89,493,1,222.75,PayPal,10/17/2023
7592,91,487,4,869.36,Virement,6/25/2025
12200,91,278,1,378.51,PayPal,1/1/2023
2325,92,29,5,701.45,Carte de cr?it,9/18/2023
18879,92,90,1,210.1,Esp?es,11/17/2024
1521,93,178,3,940.65,PayPal,3/17/2023
9726,93,219,3,965.43,Carte de cr?it,5/26/2024
14271,93,248,3,1120.56,Virement,1/10/2024
3069,94,447,3,556.02,PayPal,1/2/2025
4253,94,135,2,351.48,Carte de cr?it,11/25/2022
7950,94,483,2,288.04,PayPal,10/14/2024
1287,95,98,3,320.61,Carte de cr?it,3/10/2023
15151,95,208,4,41.24,PayPal,8/17/2023
17735,95,481,3,764.19,Esp?es,11/16/2025
19315,95,318,3,679.32,Carte de cr?it,2/8/2023
3202,96,265,2,279.44,Esp?es,8/8/2025
5230,96,305,1,444.42,PayPal,3/4/2023
17172,96,227,3,202.32,Virement,4/18/2025
881,97,102,4,1422.8,Virement,8/31/2023
14781,97,244,4,1129.72,Esp?es,1/23/2025
3322,98,494,1,12.89,Esp?es,4/5/2024
12744,98,302,5,766.7,PayPal,7/17/2023
6153,99,478,2,945.82,PayPal,4/11/2024
17593,100,99,2,723.96,Esp?es,2/1/2025
1065,101,403,5,2251.1,Virement,2/17/2023
2734,101,157,2,83.48,Virement,2/16/2023
3617,101,341,3,666.69,Esp?es,7/20/2023
6262,102,439,2,96.6,Virement,8/15/2025
13170,102,382,5,956.8,Esp?es,3/11/2024
16895,102,407,5,1849,Esp?es,9/29/2024
17052,102,189,5,1106.85,PayPal,3/12/2024
17450,102,311,2,54.16,Carte de cr?it,4/6/2024
2868,103,357,1,451.13,PayPal,3/11/2023
6506,103,379,1,311.89,Carte de cr?it,12/30/2022
9533,103,84,3,792.09,PayPal,2/24/2023
13672,103,455,4,1106.24,PayPal,9/28/2024
18138,103,404,4,1131.84,Carte de cr?it,2/7/2025
9483,105,470,4,1348.24,Carte de cr?it,9/16/2023
10513,105,379,2,672.54,Esp?es,5/29/2023
8472,106,66,5,1620.8,Carte de cr?it,6/29/2023
9204,106,412,1,299.55,Esp?es,5/15/2023
12566,108,31,4,1534,Virement,5/29/2025
12829,108,307,5,185.9,Carte de cr?it,1/16/2025
15023,109,281,2,154.9,Virement,6/7/2024
5478,110,284,4,494.36,PayPal,2/11/2025
6465,110,85,2,656.5,Esp?es,5/8/2025
10148,110,145,4,1542.6,Virement,1/27/2025
645,111,83,2,834.12,Carte de cr?it,1/23/2024
6711,111,399,1,217.51,Esp?es,12/28/2023
4887,112,282,5,859.95,Virement,12/18/2024
9015,112,278,4,1962.12,Esp?es,6/27/2023
13651,112,413,2,581.58,Carte de cr?it,11/27/2023
17689,112,492,3,208.77,PayPal,2/1/2025
6129,113,206,3,1228.11,Esp?es,7/18/2025
9155,113,319,2,121.9,PayPal,9/16/2024
4990,115,87,4,1838.12,Esp?es,5/14/2023
8190,115,468,4,1079.48,PayPal,1/19/2023
15742,115,196,3,597.27,Carte de cr?it,7/29/2023
4255,117,92,2,460.74,Virement,3/10/2024
8507,117,5,3,1115.88,PayPal,10/13/2025
18813,117,471,4,1697.72,Esp?es,5/22/2025
12370,118,159,2,772.9,Virement,4/21/2025
14207,118,283,2,731.36,PayPal,11/30/2024
1728,119,251,5,122.85,Carte de cr?it,4/18/2023
13321,119,452,3,113.07,Carte de cr?it,4/6/2024
16075,119,88,2,70.72,PayPal,10/2/2025
18279,119,6,2,692.08,Virement,2/8/2024
19202,119,431,1,439.91,Virement,1/2/2023
5199,120,365,5,372.6,Virement,5/17/2025
7251,120,116,4,129.48,Carte de cr?it,10/12/2025
3351,121,87,3,417.72,Carte de cr?it,1/5/2023
82,122,286,2,322.78,PayPal,8/15/2025
4451,123,480,1,282.77,Esp?es,6/2/2025
1097,124,160,5,307.85,Carte de cr?it,3/7/2024
17558,124,159,2,664.2,Virement,10/26/2024
1948,125,43,4,473.36,Virement,9/4/2024
5500,125,196,2,726.78,Esp?es,8/4/2024
7872,125,360,4,1344.64,Carte de cr?it,8/22/2024
14621,125,422,1,200.43,Carte de cr?it,8/19/2024
18967,125,334,1,294.84,Virement,6/16/2025
764,126,135,5,2424.65,Virement,6/6/2024
6358,126,455,5,1207.15,Carte de cr?it,3/23/2024
13327,126,338,2,122.2,Carte de cr?it,12/6/2024
10772,127,406,4,117.52,Carte de cr?it,12/31/2023
1356,129,91,1,349.33,PayPal,6/22/2023
1777,129,324,2,488.28,PayPal,3/7/2025
2703,129,186,2,924.32,Esp?es,9/7/2023
17273,129,158,1,368.28,Carte de cr?it,9/6/2023
2996,130,459,4,603.8,Carte de cr?it,10/14/2025
7528,130,23,3,825.33,PayPal,2/23/2024
8135,130,346,2,654,Esp?es,8/11/2024
9080,130,213,3,582.6,PayPal,12/30/2024
19778,130,8,2,645.42,Esp?es,4/16/2025
12579,133,168,2,970.7,Carte de cr?it,10/20/2023
4318,134,4,2,825.46,PayPal,5/31/2025
11450,134,120,3,848.46,Esp?es,1/14/2023
4512,135,8,5,1236.75,Carte de cr?it,12/1/2024
8210,135,198,5,1946.75,Esp?es,2/1/2023
17224,135,409,1,404.93,Virement,3/23/2025
9371,136,267,4,310.68,PayPal,3/13/2024
7000,137,481,1,58.7,PayPal,11/21/2025
13789,137,200,2,48.56,Carte de cr?it,8/25/2023
4460,138,346,4,1908.84,Carte de cr?it,2/12/2024
5727,138,463,1,38.58,PayPal,8/9/2023
10626,138,230,4,1041.76,PayPal,7/17/2025
11459,138,263,2,474.28,Virement,4/7/2023
11888,138,256,5,1611.75,Carte de cr?it,3/19/2025
7783,139,152,1,103.96,Esp?es,12/17/2024
16131,139,367,4,1037.72,PayPal,3/16/2023
1966,140,209,2,740.1,Esp?es,1/9/2025
3880,140,457,5,2454.25,Virement,5/23/2025
7613,140,476,1,191.57,PayPal,5/29/2024
14864,140,196,3,1241.28,PayPal,5/25/2024
1570,141,150,3,1251.39,PayPal,9/23/2024
6869,141,198,1,29.35,Carte de cr?it,7/11/2023
1793,142,426,3,336.21,Virement,4/16/2025
4266,143,24,4,908.8,Esp?es,7/8/2024
4803,143,351,2,924.66,Virement,11/13/2024
11413,143,464,1,451.43,PayPal,10/4/2023
17783,144,109,2,350.5,Carte de cr?it,2/6/2023
18653,144,51,5,1652.9,PayPal,8/22/2025
19534,144,162,4,638.8,Carte de cr?it,1/20/2025
18200,147,54,5,1783.6,Carte de cr?it,1/27/2025
9893,148,259,2,54.34,PayPal,6/18/2023
7566,149,42,5,1874.55,Carte de cr?it,2/8/2023
12252,149,442,2,863.14,Carte de cr?it,5/1/2024
16421,149,461,3,474.24,Esp?es,3/23/2024
2512,151,491,2,611.18,Carte de cr?it,9/6/2024
18636,151,320,5,1080.2,Virement,1/26/2025
3413,152,437,3,651.57,Carte de cr?it,1/10/2025
5157,152,206,3,1359.24,Virement,4/21/2023
8458,152,438,1,133.09,PayPal,3/9/2023
16832,152,113,5,2275.55,Carte de cr?it,1/23/2023
674,153,49,1,379.77,Esp?es,4/4/2025
3689,153,160,3,175.44,PayPal,3/29/2024
10471,153,363,1,372.39,Carte de cr?it,10/26/2023
11215,154,233,3,1256.79,PayPal,9/30/2023
18670,154,28,1,329.8,Esp?es,12/25/2022
7742,157,108,4,489.48,Carte de cr?it,1/17/2023
11340,157,265,2,666.06,PayPal,7/1/2023
383,159,289,1,494.41,Virement,9/24/2023
1002,159,32,5,1115.6,Esp?es,2/13/2024
18551,159,428,3,171.21,Virement,3/19/2025
6865,160,287,5,356.3,PayPal,5/11/2023
12345,160,413,4,844.88,Carte de cr?it,7/2/2023
1479,161,369,2,415.7,Virement,8/21/2024
11004,161,108,4,342.52,Virement,4/29/2025
1001,162,77,3,598.32,Virement,8/27/2024
1436,162,344,5,474.95,Esp?es,3/21/2023
4335,162,41,5,983.3,PayPal,10/6/2025
5745,162,329,4,432.04,Esp?es,4/9/2024
11138,162,419,4,465.4,Esp?es,9/3/2025
13360,162,178,4,688.08,Esp?es,2/20/2023
7892,163,62,4,1499.28,Virement,10/6/2024
13690,163,410,4,660,Virement,10/1/2025
7280,164,166,4,1760.24,Virement,7/17/2025
7893,164,353,4,325.44,Carte de cr?it,5/12/2023
11076,164,182,5,1535.65,Virement,10/15/2023
3,165,428,3,397.53,PayPal,3/23/2023
9280,165,354,2,510.28,Carte de cr?it,9/3/2023
11032,165,405,3,1002.42,Carte de cr?it,7/1/2025
16783,165,321,4,1137.36,Carte de cr?it,2/16/2024
18667,165,269,4,135.32,Esp?es,6/25/2023
3089,166,280,3,1244.67,Carte de cr?it,3/19/2024
13331,166,57,5,2384.15,Carte de cr?it,2/22/2024
9985,167,58,4,922.68,Virement,1/6/2025
14287,167,280,1,452.61,Carte de cr?it,11/13/2024
14661,167,373,3,410.91,Carte de cr?it,6/20/2023
18402,167,120,1,200.48,PayPal,6/10/2025
13961,168,321,3,1494.18,PayPal,4/11/2023
15475,168,495,1,183.8,Esp?es,3/3/2024
17867,168,129,1,470.62,Carte de cr?it,4/11/2024
19184,168,50,1,279.83,PayPal,10/28/2025
19065,170,464,4,442.56,Virement,12/9/2022
4150,172,416,3,213.42,Carte de cr?it,3/23/2025
11599,172,56,4,1397.24,PayPal,1/21/2024
3376,173,278,3,819.84,PayPal,1/23/2023
3897,173,8,3,160.38,Carte de cr?it,3/1/2023
8103,174,313,1,96.84,PayPal,5/7/2024
